Time,Open,High,Low,Close,Volume
2019-11-20 19:00:00,27741.67,27809.169,27713.17,27782.67,60
2019-11-20 20:00:00,27783.169,27834.67,27768.67,27822.169,60
2019-11-20 21:00:00,27823.669,27833.67,27803.669,27831.17,14
2019-11-20 23:00:00,27723.97,27783.969,27691.469,27763.47,60
2019-11-21 0:00:00,27764.469,27778.47,27693.47,27697.469,60
2019-11-21 1:00:00,27698.47,27720.97,27673.469,27687.47,60
2019-11-21 2:00:00,27687.47,27811.469,27685.969,27766.47,60
2019-11-21 3:00:00,27766.47,27777.97,27743.469,27770.469,60
2019-11-21 4:00:00,27770.469,27770.97,27747.47,27754.97,60
2019-11-21 5:00:00,27754.97,27791.469,27748.47,27777.969,60
2019-11-21 6:00:00,27777.47,27790.47,27770.969,27777.469,60
2019-11-21 7:00:00,27777.469,27815.469,27750.469,27763.47,60
2019-11-21 8:00:00,27763.47,27778.069,27727.069,27772.07,60
2019-11-21 9:00:00,27772.07,27793.569,27767.069,27781.57,60
2019-11-21 10:00:00,27781.07,27852.069,27780.069,27808.569,60
2019-11-21 11:00:00,27808.569,27826.569,27793.569,27816.069,60
2019-11-21 12:00:00,27815.569,27817.57,27784.069,27812.07,60
2019-11-21 13:00:00,27812.07,27865.57,27804.07,27825.57,60
2019-11-21 14:00:00,27825.07,27841.069,27755.169,27777.664,60
2019-11-21 15:00:00,27777.169,27799.67,27706.17,27747.669,60
2019-11-21 16:00:00,27747.669,27772.67,27722.669,27734.669,60
2019-11-21 17:00:00,27733.67,27816.17,27731.669,27808.67,60
2019-11-21 18:00:00,27808.67,27814.669,27789.669,27795.669,60
2019-11-21 19:00:00,27796.169,27823.67,27776.669,27807.67,60
2019-11-21 20:00:00,27808.169,27813.67,27737.669,27765.67,60
2019-11-21 21:00:00,27765.67,27784.169,27748.669,27770.169,15
2019-11-21 23:00:00,27771.47,27780.97,27751.97,27752.469,60
2019-11-22 0:00:00,27753.97,27799.47,27744.47,27784.469,60
2019-11-22 1:00:00,27784.969,27818.47,27784.47,27815.969,60
2019-11-22 2:00:00,27815.969,27817.469,27797.969,27802.47,60
2019-11-22 3:00:00,27802.47,27818.47,27791.97,27806.47,60
2019-11-22 4:00:00,27806.47,27807.47,27795.469,27805.47,57
2019-11-22 5:00:00,27805.47,27817.469,27793.47,27793.47,60
2019-11-22 6:00:00,27793.47,27801.47,27787.47,27790.97,60
2019-11-22 7:00:00,27789.969,27802.469,27782.969,27792.969,60
2019-11-22 8:00:00,27792.969,27863.07,27789.07,27854.569,60
2019-11-22 9:00:00,27854.07,27859.07,27804.07,27821.069,60
2019-11-22 10:00:00,27821.069,27830.569,27809.069,27816.07,60
2019-11-22 11:00:00,27816.07,27820.07,27778.07,27807.07,60
2019-11-22 12:00:00,27807.569,27826.07,27805.069,27817.07,60
2019-11-22 13:00:00,27817.07,27836.07,27791.07,27823.57,60
2019-11-22 14:00:00,27823.57,27851.67,27793.67,27840.669,60
2019-11-22 15:00:00,27840.169,27870.669,27791.67,27809.67,60
2019-11-22 16:00:00,27809.67,27845.67,27771.669,27829.669,60
2019-11-22 17:00:00,27829.669,27858.169,27823.169,27851.669,60
2019-11-22 18:00:00,27851.669,27868.67,27848.669,27863.67,60
2019-11-22 19:00:00,27863.67,27895.169,27849.67,27875.669,60
2019-11-22 20:00:00,27876.67,27881.17,27833.17,27875.17,60
2019-11-22 21:00:00,27873.67,27890.67,27873.67,27888.67,15
2019-11-24 23:00:00,27949.47,27955.47,27925.47,27948.97,60
2019-11-25 0:00:00,27948.97,27957.97,27945.47,27954.47,60
2019-11-25 1:00:00,27954.47,27973.469,27951.469,27970.47,60
2019-11-25 2:00:00,27971.47,27974.47,27958.469,27964.47,60
2019-11-25 3:00:00,27964.47,27966.47,27957.47,27959.47,60
2019-11-25 4:00:00,27959.47,27965.469,27948.469,27949.969,58
2019-11-25 5:00:00,27949.469,27967.47,27942.47,27964.469,60
2019-11-25 6:00:00,27964.469,27969.969,27954.469,27962.47,58
2019-11-25 7:00:00,27962.47,27964.47,27950.47,27953.47,60
2019-11-25 8:00:00,27953.47,27968.07,27948.069,27959.57,60
2019-11-25 9:00:00,27959.57,27965.069,27948.57,27958.069,60
2019-11-25 10:00:00,27958.069,27965.07,27955.069,27960.069,60
2019-11-25 11:00:00,27960.069,27964.07,27947.069,27957.07,60
2019-11-25 12:00:00,27957.07,27964.07,27945.069,27949.07,60
2019-11-25 13:00:00,27949.07,27968.07,27940.069,27961.07,60
2019-11-25 14:00:00,27961.569,27996.67,27946.069,27993.669,60
2019-11-25 15:00:00,27994.669,28025.67,27990.669,28000.669,60
2019-11-25 16:00:00,28000.669,28006.67,27976.67,27993.67,60
2019-11-25 17:00:00,27993.67,28004.67,27984.67,28003.67,60
2019-11-25 18:00:00,28003.67,28023.67,28003.67,28013.67,60
2019-11-25 19:00:00,28013.67,28023.67,28005.669,28018.17,60
2019-11-25 20:00:00,28018.17,28065.67,28017.669,28063.67,60
2019-11-25 21:00:00,28062.669,28066.67,28047.669,28060.67,15
2019-11-25 23:00:00,28051.469,28064.469,28043.469,28063.97,59
2019-11-26 0:00:00,28063.97,28102.47,28053.47,28101.469,60
2019-11-26 1:00:00,28101.469,28170.47,28076.969,28132.47,60
2019-11-26 2:00:00,28132.47,28134.97,28080.97,28084.469,60
2019-11-26 3:00:00,28084.469,28090.97,28070.969,28077.47,60
2019-11-26 4:00:00,28077.47,28087.47,28073.469,28085.47,60
2019-11-26 5:00:00,28085.47,28093.97,28069.469,28072.469,60
2019-11-26 6:00:00,28072.469,28084.47,28061.469,28071.97,60
2019-11-26 7:00:00,28071.97,28084.969,28067.969,28072.97,60
2019-11-26 8:00:00,28072.97,28080.07,28048.069,28060.07,60
2019-11-26 9:00:00,28060.07,28061.07,28022.069,28048.569,60
2019-11-26 10:00:00,28048.569,28062.57,28038.069,28058.069,60
2019-11-26 11:00:00,28058.069,28076.07,28050.069,28059.57,59
2019-11-26 12:00:00,28059.57,28081.07,28055.07,28074.07,59
2019-11-26 13:00:00,28074.07,28101.07,28074.07,28086.069,60
2019-11-26 14:00:00,28086.069,28099.17,28045.67,28092.17,60
2019-11-26 15:00:00,28092.17,28110.67,28074.669,28098.67,60
2019-11-26 16:00:00,28099.669,28108.669,28074.669,28103.669,60
2019-11-26 17:00:00,28103.169,28127.17,28097.169,28112.669,60
2019-11-26 18:00:00,28112.669,28118.67,28078.169,28087.669,60
2019-11-26 19:00:00,28088.669,28109.669,28087.669,28102.17,60
2019-11-26 20:00:00,28102.17,28143.67,28083.669,28118.17,60
2019-11-26 21:00:00,28116.669,28157.669,28116.669,28157.669,15
2019-11-26 23:00:00,28139.469,28141.469,28127.969,28134.969,58
2019-11-27 0:00:00,28134.47,28154.97,28124.469,28137.469,60
2019-11-27 1:00:00,28137.469,28146.469,28124.47,28136.969,60
2019-11-27 2:00:00,28136.969,28147.47,28134.469,28144.47,60
2019-11-27 3:00:00,28144.47,28157.469,28143.969,28151.469,60
2019-11-27 4:00:00,28151.469,28158.47,28146.469,28153.47,60
2019-11-27 5:00:00,28153.47,28158.97,28138.469,28140.47,58
2019-11-27 6:00:00,28140.47,28146.97,28137.469,28140.97,53
2019-11-27 7:00:00,28140.97,28169.47,28140.97,28164.969,60
2019-11-27 8:00:00,28164.969,28166.07,28143.069,28164.069,60
2019-11-27 9:00:00,28164.069,28191.07,28159.07,28186.07,60
2019-11-27 10:00:00,28186.07,28189.07,28173.569,28175.07,60
2019-11-27 11:00:00,28175.07,28178.07,28152.07,28153.57,59
2019-11-27 12:00:00,28153.57,28158.07,28146.07,28154.07,58
2019-11-27 13:00:00,28154.07,28160.07,28138.07,28142.069,60
2019-11-27 14:00:00,28142.069,28150.07,28086.169,28112.169,60
2019-11-27 15:00:00,28112.67,28117.67,28077.669,28113.67,60
2019-11-27 16:00:00,28112.669,28129.169,28100.669,28118.669,60
2019-11-27 17:00:00,28119.67,28134.169,28113.669,28129.67,60
2019-11-27 18:00:00,28129.67,28171.17,28126.669,28163.67,60
2019-11-27 19:00:00,28164.17,28170.169,28155.67,28161.67,60
2019-11-27 20:00:00,28160.669,28172.669,28149.669,28168.67,60
2019-11-27 21:00:00,28168.67,28181.169,28164.669,28171.17,15
2019-11-27 23:00:00,28177.969,28178.969,28088.969,28098.969,60
